title	abstract	url	authors
A Comprehensive Benchmark for Evaluating Night-time Visual Object Tracking.	Several existing visual object tracking benchmarks, including OTB100, NfS, UAV123, LaSOT, and GOT-10K, mostly feature day-time scenarios. However, the challenges posed by the night-time remain relatively underexplored. We attribute this primarily to the lack of a large-scale, well-annotated night-time benchmark for rigorously evaluating tracking algorithms. In this paper, we first introduce NT-VOT211, a novel benchmark specifically designed to thoroughly evaluate visual object tracking algorithms under a wide range of challenging night-time conditions. NT-VOT211 consists of 211 diverse videos, offering 211,000 well-annotated frames with 8 attributes including camera motion, deformation, fast motion, motion blur, tiny target, distractors, occlusion and out-of-view. After conducting a comprehensive analysis of the results from 42 distinct tracking algorithms on the NT-VOT211 dataset, we develop a simple yet effective zero-shot domain adaptation method to significantly enhance the tracking performance of state-of-the-art trackers under low-light conditions. In this method, a newly designed module aims to distinguish the background token from the target token before feeding into the MLP Head. Our module enables for more accurate position estimation. Remarkably, it accomplishes this enhancement with merely 11 epochs of fine-tuning on a standard daylight dataset. Our dataset, code and other assets can be found at: https://github.com/LiuYuML/NV-VOT211	https://doi.org/10.1007/s11263-025-02661-7	Yu Liu, Arif Mahmood, Muhammad Haris Khan
A Decade of Action Quality Assessment: Largest Systematic Survey of Trends, Challenges, and Future Directions.	Action Quality Assessment (AQA)—the ability to quantify the quality of human motion, actions, or skill levels and provide feedback—has far-reaching implications in areas such as low-cost physiotherapy, sports training, and workforce development. As such, it has become a critical field in computer vision and video understanding over the past decade. Significant progress has been made in AQA methodologies, datasets, and applications, yet a pressing need remains for a comprehensive synthesis of this rapidly evolving field. In this paper, we present a thorough survey of the AQA landscape, systematically reviewing over 200 research papers using the preferred reporting items for systematic reviews and meta-analyses (PRISMA) framework. We begin by covering foundational concepts and definitions, then move to general frameworks and performance metrics, and finally discuss the latest advances in methodologies and datasets. This survey provides a detailed analysis of research trends, performance comparisons, challenges, and future directions. Through this work, we aim to offer a valuable resource for both newcomers and experienced researchers, promoting further exploration and progress in AQA.	https://doi.org/10.1007/s11263-025-02672-4	Hao Yin, Paritosh Parmar, Daoliang Xu, Yang Zhang, Tianyou Zheng, Weiwei Fu
A Lightweight Hybrid Gabor Deep Learning Approach and its Application to Medical Image Classification.	Deep learning has revolutionized image analysis, but its applications are limited by the need for large datasets and high computational resources. Hybrid approaches that combine domain-specific, universal feature extractor with learnable neural networks offer a promising balance of efficiency and accuracy. This paper presents a hybrid model integrating a Gabor filter bank front-end with compact neural networks for efficient feature extraction and classification. Gabor filters, inherently bandpass, extract early-stage features with spatially shifted filters covering the frequency plane to balance spatial and spectral localization. We introduce separate channels capturing low- and high-frequency components to enhance feature representation while maintaining efficiency. The approach reduces trainable parameters and training time while preserving accuracy, making it suitable for resource-constrained environments. Compared to MobileNetV2 and EfficientNetB0, our model trains approximately 4–6 × faster on average while using fewer parameters and FLOPs. We compare it to pretrained networks used as feature extractors, lightweight fine-tuned models, and classical descriptors (HOG, LBP). It achieves competitive results with faster training and reduced computation. The hybrid model uses only around 0.60 GFLOPs and 0.34 M parameters, and we apply statistical significance testing (ANOVA, paired t-tests) to validate performance gains. Inference takes 0.01–0.02 s per image, up to 15 × faster than EfficientNetB0 and 8 × faster than MobileNetV2. Grad-CAM visualizations confirm localized attention on relevant regions. This work highlights integrating traditional features with deep learning to improve efficiency for resource-limited applications. Future work will address color fusion, robustness to noise, and automated filter optimization.	https://doi.org/10.1007/s11263-025-02658-2	Rayyan Ahmed, Hamza Baali, Abdesselam Bouzerdoum
A Multi-Granularity Scene-Aware Graph Convolution Method for Weakly Supervised Person Search.	One-step Weakly Supervised Person Search (WSPS) addresses person detection and re-identification (ReID) within a unified framework, relying solely on pedestrian bounding box annotations for training, without requiring annotated identity labels. This approach enhances the practicality and efficiency of person search in real-world applications. However, WSPS faces two primary challenges: (1) the significant feature discrepancy between ReID and pedestrian detection tasks complicates shared representation learning, and (2) accurately estimating pseudo identity for each person image is challenging due to unrefined detections and significant intra-class variation in complex scenes. To address these challenges, we introduce a multi-granularity scene-aware graph convolution framework, which jointly optimizes task-specific features, improves pseudo-label estimation, and reduces the effects of label noise. Specifically, the Multi-granularity Feature Alignment (MFA) module in our designed two-branch network leverages bi-directional cluster-level interactions across multiple granularities to address the feature discrepancy. Building on MFA, we develop the Graph-convolution-based feature enhancement for more reliable Scene-aware pseudo-label Estimation (GSE). Meanwhile, the Label Refinement module, with its global-local Collaborative Learning (LCL) mechanism, addresses label noise by refining labels at both global and local levels, ensuring more robust weakly supervised learning. Extensive experimental evaluations demonstrate the effectiveness of the proposed method, achieving significant performance improvements over state-of-the-art approaches on the CUHK-SYSU and PRW datasets. Code is available at https://github.com/haichuntai/MSGM-main.	https://doi.org/10.1007/s11263-025-02665-3	De Cheng, Haichun Tai, Nannan Wang, Xiangqian Zhao, Jie Li, Xinbo Gao
A Multi-Modal Knowledge-Driven Approach for Generalized Zero-shot Video Classification.	Learning video information only by their category names limited the development of the generalized zero-shot video classification (GZSVC) task. By analyzing the way that humans learn new things, we found that people can utilize knowledge such as textual concepts and visual fundamentals to construct new video cognition. Taking this as inspiration, we propose a multi-modal knowledge-driven approach to solve the GZSVC task by searching and learning various knowledge. In the real world, it is hard to guarantee that important components of new videos can be covered by existing knowledge. To bridge this knowledge gap, our method constructs a reliable knowledge supplement from multi-modal information for categories, which can also establish connections between classes. In order to fuse the information from different modalities, we propose a multi-modal generative model to synthesize visual features that are rich in content and closer to the true distribution of videos. Since training process lacks real unseen visual information, we propose that the model should pay more attention to semantic information in this task, and we strengthen the constraint and utilization of semantic information in the proposed framework. Extensive experimental results on various databases show that our proposed method outperforms the state-of-the-art GZSVC methods.	https://doi.org/10.1007/s11263-025-02584-3	Mingyao Hong, Xinfeng Zhang, Guorong Li, Qingming Huang
A Novel Dataset and Lightweight Distillation Baseline for Highlight Transparent Object Detection.	Defect and product number detection of highlight transparent objects (such as glass containers) are significant tasks in computer vision. However, existing highlight transparent object datasets have some problems: 1) lack large-scale and multi-modal data of actual scenes, 2) lack of efficient lightweight baseline. To address the above problems, this paper proposes the first large-scale visual-language glass container detection dataset (GCDet) for highlight transparent object defect and number detection. GCDet contains 36,500 images and 80,000+ instances, including subsets for defect detection and number detection. In addition, this paper customizes language templates for each object so that the dataset can be extended to visual-language tasks. Compared with the currently transparent object datasets such as Trans10 and GDD, GCDet has more diverse object categories and multi-modal visual-text annotations. GCDet provides valuable training data for multi-modal models in future industrial scenarios. Based on GCDet, this paper introduces a Visual-Language Knowledge Distillation (VLKD) architecture for highlight transparent object detection. VLKD introduces fine-grained language prompts into the highlight transparent object detection task, including three important innovations: distributed distillation, language prompt distillation, and decoupled distillation. Different from previous feature or object distillation, VLKD simultaneously considers the distribution relationship of features and the interaction of foreground and background to obtain a more refined feature transfer. In particular, VLKD introduces text into the distillation process for the first time, effectively improving the student model's ability to understand key teacher features transfer. Extensive experiments on GCDet, MSCOCO, Trans10, Glass defect dataset, and Aluminum highlight defect dataset show that VLKD outperforms the current state-of-the-art methods, especially for detection of highlight transparent objects.	https://doi.org/10.1007/s11263-025-02718-7	Zekai Zhang, Gang Li, Haijun Zhang, Qinghui Chen, Qunshu Zhang, Jin Wan, Maomao Xiong, Cong Bai, Dagang Li, Wenyin Zhang, Xing Wang, Jinglin Zhang, Shengyong Chen
A Polynomial Formula for the Perspective Four Points Problem.	We present a fast and accurate solution to the perspective n-points problem, by way of a new approach to the \(n=4\) case. Our solution hinges on a novel separation of variables: given four 3D points and four corresponding 2D points on the camera canvas, we start by finding another set of 3D points, sitting on the rays connecting the camera to the 2D canvas points, so that the six pair-wise distances between these 3D points are as close as possible to the six distances between the original 3D points. This step reduces the perspective problem to an absolute orientation problem, which has a solution via explicit formula. To solve the first problem we set coordinates which are as orientation-free as possible: on the 3D points side our coordinates are the squared distances between the points. On the 2D canvas-points side our coordinates are the dot products of the points after rotating one of them to sit on the optical axis. We then derive the solution with the help of a computer algebra system. Our solution is an order of magnitude faster than state of the art algorithms, while offering similar accuracy under realistic noise. Moreover, our reduction to the absolute orientation problem runs two orders of magnitude faster than other perspective problem solvers, allowing extremely efficient seed rejection when implementing RANSAC.	https://doi.org/10.1007/s11263-025-02660-8	David Lehavi, Brian Osserman
A Survey of Multimodal Hallucination Evaluation and Detection.	Multi-modal Large Language Models (MLLMs) have emerged as a powerful paradigm for integrating visual and textual information, supporting a wide range of multi-modal tasks. However, these models often suffer from hallucination, producing content that appears plausible but contradicts the input content or established world knowledge. This survey offers an in-depth review of hallucination evaluation benchmarks and detection methods across Image-to-Text (I2T) and Text-to-image (T2I) generation tasks. Specifically, we first propose a taxonomy of hallucination based on faithfulness and factuality, incorporating the common types of hallucinations observed in practice. Then we provide an overview of existing hallucination evaluation benchmarks for both T2I and I2T tasks, highlighting their construction process, evaluation objectives, and employed metrics. Furthermore, we summarize recent advances in hallucination detection methods, which aims to identify hallucinated content at the instance level and serve as a practical complement of benchmark-based evaluation. Finally, we highlight key limitations in current benchmarks and detection methods, and outline potential directions for future research.	https://doi.org/10.1007/s11263-026-02756-9	Zhiyuan Chen, Yuecong Min, Jie Zhang, Bei Yan, Jiahao Wang, Xiaozhen Wang, Shiguang Shan
A Survey on Human Interaction Motion Generation.	Humans inhabit a world defined by interactions—with other humans, objects, and environments. These interactive movements not only convey our relationships with our surroundings but also demonstrate how we perceive and communicate with the real world. Therefore, replicating these interaction behaviors in digital systems has emerged as an important topic for applications in robotics, virtual reality, and animation. While recent advances in deep generative models and new datasets have accelerated progress in this field, significant challenges remain in modeling the intricate human dynamics and their interactions with entities in the external world. In this survey, we present, for the first time, a comprehensive overview of the literature in human interaction motion generation. We begin by establishing foundational concepts essential for understanding the research background. We then systematically review existing solutions and datasets across three fundamental interaction tasks: human-human, human-object, and human-scene interactions, and their composite scenarios. This is followed by discussion of evaluation metrics for interaction motion quality on various aspects. Finally, we discuss open research directions and future opportunities. The repository listing relevant papers is accessible at: https://github.com/soraproducer/Awesome-Human-Interaction-Motion-Generation.	https://doi.org/10.1007/s11263-025-02582-5	Kewei Sui, Anindita Ghosh, Inwoo Hwang, Bing Zhou, Jian Wang, Chuan Guo
A Traditional Approach for Color Constancy and Color Assimilation Illusions with Its Applications to Low-Light Image Enhancement.	The human visual system achieves color constancy, allowing consistent color perception under varying environmental contexts, while also being deceived by color illusions, where contextual information affects our perception. Despite the close relationship between color constancy and color illusions, and their potential benefits to the field, both phenomena are rarely studied together in computer vision. In this study, we present the benefits of considering color illusions in the field of computer vision. Particularly, we introduce a learning-free method, namely multiresolution color constancy, which combines insights from computational neuroscience and computer vision to address both phenomena within a single framework. Our approach performs color constancy in both multi- and single-illuminant scenarios, while it is also deceived by assimilation illusions. Additionally, we extend our method to low-light image enhancement, thus, demonstrate its usability across different computer vision tasks. Through comprehensive experiments on color constancy, we show the effectiveness of our method in multi-illuminant and single-illuminant scenarios. Furthermore, we compare our method with state-of-the-art learning-based models on low-light image enhancement, where it shows competitive performance. This work presents the first method that integrates color constancy, color illusions, and low-light image enhancement in a single and explainable framework.	https://doi.org/10.1007/s11263-025-02595-0	Oguzhan Ulucan, Diclehan Ulucan, Marc Ebner
